iteration,EPT,EPI
41700,1.066E-03,0.000E+00
41800,1.119E-03,0.000E+00
41900,1.147E-03,0.000E+00
42000,1.125E-03,0.000E+00
42100,1.133E-03,0.000E+00
42200,1.157E-03,0.000E+00
42300,1.175E-03,0.000E+00
42400,1.190E-03,0.000E+00
42500,1.129E-03,0.000E+00
42600,1.054E-03,0.000E+00
42700,1.000E-03,0.000E+00
42800,9.743E-04,0.000E+00
42900,1.012E-03,0.000E+00
43000,1.022E-03,0.000E+00
43100,1.002E-03,0.000E+00
43200,9.750E-04,0.000E+00
43300,1.008E-03,0.000E+00
43400,1.057E-03,0.000E+00
43500,1.024E-03,0.000E+00
43600,9.939E-04,0.000E+00
43700,9.908E-04,0.000E+00
43800,9.701E-04,0.000E+00
43900,9.333E-04,0.000E+00
44000,9.701E-04,0.000E+00
44100,9.790E-04,0.000E+00
44200,1.017E-03,0.000E+00
44300,1.100E-03,0.000E+00
44400,1.069E-03,0.000E+00
44500,1.035E-03,0.000E+00
44600,1.081E-03,0.000E+00
44700,1.079E-03,0.000E+00
44800,1.080E-03,0.000E+00
44900,1.061E-03,0.000E+00
45000,1.005E-03,0.000E+00
45100,9.857E-04,0.000E+00
45200,1.008E-03,0.000E+00
45300,1.012E-03,0.000E+00
45400,9.962E-04,0.000E+00
45500,1.006E-03,0.000E+00
45600,1.019E-03,0.000E+00
45700,1.055E-03,0.000E+00
45800,1.030E-03,0.000E+00
45900,9.934E-04,0.000E+00
46000,9.947E-04,0.000E+00
46100,9.786E-04,0.000E+00
46200,9.852E-04,0.000E+00
46300,1.035E-03,0.000E+00
46400,1.066E-03,0.000E+00
46500,1.098E-03,0.000E+00
46600,1.142E-03,0.000E+00
46700,1.144E-03,0.000E+00
46800,1.111E-03,0.000E+00
46900,1.158E-03,0.000E+00
47000,1.154E-03,0.000E+00
47100,1.194E-03,0.000E+00
47200,1.153E-03,0.000E+00
47300,1.083E-03,0.000E+00
47400,9.990E-04,0.000E+00
47500,9.926E-04,0.000E+00
47600,9.850E-04,0.000E+00
47700,1.027E-03,0.000E+00
47800,1.010E-03,0.000E+00
47900,9.868E-04,0.000E+00
48000,9.709E-04,0.000E+00
48100,1.050E-03,0.000E+00
48200,1.037E-03,0.000E+00
48300,9.998E-04,0.000E+00
48400,9.936E-04,0.000E+00
48500,9.801E-04,0.000E+00
48600,9.484E-04,0.000E+00
48700,9.450E-04,0.000E+00
48800,9.794E-04,0.000E+00
48900,9.804E-04,0.000E+00
49000,1.076E-03,0.000E+00
49100,1.087E-03,0.000E+00
49200,1.039E-03,0.000E+00
49300,1.057E-03,0.000E+00
49400,1.082E-03,0.000E+00
49500,1.075E-03,0.000E+00
49600,1.079E-03,0.000E+00
49700,1.027E-03,0.000E+00
49800,9.715E-04,0.000E+00
49900,1.002E-03,0.000E+00
50000,1.013E-03,0.000E+00
50100,1.004E-03,0.000E+00
50200,9.768E-04,0.000E+00
50300,1.001E-03,0.000E+00
50400,1.043E-03,0.000E+00
50500,1.042E-03,0.000E+00
50600,1.004E-03,0.000E+00
50700,9.962E-04,0.000E+00
50800,9.864E-04,0.000E+00
50900,9.611E-04,0.000E+00
51000,1.019E-03,0.000E+00
51100,1.061E-03,0.000E+00
51200,1.072E-03,0.000E+00
51300,1.133E-03,0.000E+00
51400,1.149E-03,0.000E+00
51500,1.112E-03,0.000E+00
51600,1.147E-03,0.000E+00
51700,1.154E-03,0.000E+00
51800,1.190E-03,0.000E+00
51900,1.175E-03,0.000E+00
52000,1.111E-03,0.000E+00
52100,1.032E-03,0.000E+00
52200,1.002E-03,0.000E+00
52300,9.609E-04,0.000E+00
52400,1.026E-03,0.000E+00
52500,1.018E-03,0.000E+00
52600,9.964E-04,0.000E+00
52700,9.654E-04,0.000E+00
52800,1.031E-03,0.000E+00
52900,1.049E-03,0.000E+00
53000,1.014E-03,0.000E+00
53100,1.005E-03,0.000E+00
53200,9.875E-04,0.000E+00
53300,9.632E-04,0.000E+00
53400,9.386E-04,0.000E+00
53500,9.832E-04,0.000E+00
53600,9.784E-04,0.000E+00
53700,1.042E-03,0.000E+00
53800,1.102E-03,0.000E+00
53900,1.055E-03,0.000E+00
54000,1.032E-03,0.000E+00
54100,1.082E-03,0.000E+00
54200,1.068E-03,0.000E+00
54300,1.084E-03,0.000E+00
54400,1.047E-03,0.000E+00
54500,9.887E-04,0.000E+00
54600,1.014E-03,0.000E+00
54700,1.011E-03,0.000E+00
54800,1.009E-03,0.000E+00
54900,1.004E-03,0.000E+00
55000,9.788E-04,0.000E+00
55100,1.030E-03,0.000E+00
55200,1.051E-03,0.000E+00
55300,1.020E-03,0.000E+00
55400,9.954E-04,0.000E+00
55500,9.920E-04,0.000E+00
55600,9.715E-04,0.000E+00
55700,9.992E-04,0.000E+00
55800,1.046E-03,0.000E+00
55900,1.067E-03,0.000E+00
56000,1.115E-03,0.000E+00
56100,1.146E-03,0.000E+00
56200,1.130E-03,0.000E+00
56300,1.125E-03,0.000E+00
56400,1.158E-03,0.000E+00
56500,1.169E-03,0.000E+00
56600,1.195E-03,0.000E+00
56700,1.136E-03,0.000E+00
56800,1.062E-03,0.000E+00
56900,9.999E-04,0.000E+00
57000,9.794E-04,0.000E+00
57100,1.005E-03,0.000E+00
57200,1.024E-03,0.000E+00
57300,1.004E-03,0.000E+00
57400,9.782E-04,0.000E+00
57500,9.987E-04,0.000E+00
57600,1.060E-03,0.000E+00
57700,1.027E-03,0.000E+00
57800,9.934E-04,0.000E+00
57900,9.917E-04,0.000E+00
58000,9.729E-04,0.000E+00
58100,9.374E-04,0.000E+00
58200,9.635E-04,0.000E+00
58300,9.790E-04,0.000E+00
58400,1.007E-03,0.000E+00
58500,1.097E-03,0.000E+00
58600,1.074E-03,0.000E+00
58700,1.036E-03,0.000E+00
58800,1.078E-03,0.000E+00
58900,1.080E-03,0.000E+00
59000,1.079E-03,0.000E+00
59100,1.066E-03,0.000E+00
59200,1.011E-03,0.000E+00
59300,9.825E-04,0.000E+00
59400,1.007E-03,0.000E+00
59500,1.012E-03,0.000E+00
59600,9.986E-04,0.000E+00
59700,9.669E-04,0.000E+00
59800,1.014E-03,0.000E+00
59900,1.052E-03,0.000E+00
60000,1.033E-03,0.000E+00
60100,9.923E-04,0.000E+00
60200,9.954E-04,0.000E+00
60300,9.809E-04,0.000E+00
60400,9.792E-04,0.000E+00
60500,1.031E-03,0.000E+00
60600,1.065E-03,0.000E+00
60700,1.091E-03,0.000E+00
60800,1.140E-03,0.000E+00
60900,1.149E-03,0.000E+00
61000,1.110E-03,0.000E+00
61100,1.156E-03,0.000E+00
61200,1.148E-03,0.000E+00
61300,1.193E-03,0.000E+00
61400,1.159E-03,0.000E+00
61500,1.091E-03,0.000E+00
61600,1.008E-03,0.000E+00
61700,9.972E-04,0.000E+00
61800,9.776E-04,0.000E+00
61900,1.027E-03,0.000E+00
62000,1.012E-03,0.000E+00
62100,9.893E-04,0.000E+00
62200,9.606E-04,0.000E+00
62300,1.045E-03,0.000E+00
