iteration;EPT;EPI
60400;8.320E-06;0.000E+00
60500;9.586E-06;0.000E+00
60600;1.532E-05;0.000E+00
60700;9.440E-06;0.000E+00
60800;7.215E-06;0.000E+00
60900;1.294E-05;0.000E+00
61000;9.929E-06;0.000E+00
61100;8.763E-06;0.000E+00
61200;8.751E-06;0.000E+00
61300;1.307E-05;0.000E+00
61400;9.813E-06;0.000E+00
61500;6.058E-06;0.000E+00
61600;1.309E-05;0.000E+00
61700;1.043E-05;0.000E+00
61800;8.895E-06;0.000E+00
61900;1.024E-05;0.000E+00
62000;1.304E-05;0.000E+00
62100;9.520E-06;0.000E+00
62200;7.032E-06;0.000E+00
62300;1.013E-05;0.000E+00
62400;1.173E-05;0.000E+00
62500;1.042E-05;0.000E+00
62600;6.101E-06;0.000E+00
62700;1.161E-05;0.000E+00
62800;1.157E-05;0.000E+00
62900;6.991E-06;0.000E+00
63000;1.040E-05;0.000E+00
63100;1.467E-05;0.000E+00
63200;9.832E-06;0.000E+00
63300;8.075E-06;0.000E+00
63400;1.634E-05;0.000E+00
63500;1.091E-05;0.000E+00
63600;7.564E-06;0.000E+00
63700;1.000E-05;0.000E+00
63800;1.296E-05;0.000E+00
63900;9.829E-06;0.000E+00
64000;9.372E-06;0.000E+00
64100;1.311E-05;0.000E+00
64200;1.219E-05;0.000E+00
64300;8.702E-06;0.000E+00
64400;9.484E-06;0.000E+00
64500;1.503E-05;0.000E+00
64600;8.844E-06;0.000E+00
64700;8.207E-06;0.000E+00
64800;1.067E-05;0.000E+00
64900;1.147E-05;0.000E+00
65000;1.034E-05;0.000E+00
65100;6.606E-06;0.000E+00
65200;1.320E-05;0.000E+00
65300;1.146E-05;0.000E+00
65400;8.143E-06;0.000E+00
65500;1.198E-05;0.000E+00
65600;1.219E-05;0.000E+00
65700;2.019E-05;0.000E+00
65800;2.817E-05;0.000E+00
65900;1.669E-05;0.000E+00
66000;1.027E-05;0.000E+00
66100;8.316E-06;0.000E+00
